Duration,Value,criterion,max_depth,min_samples_split,min_samples_leaf
3.8360164165496826,0.9593506591541667,friedman_mse,45,18,9
4.302019834518433,0.9602443459611344,poisson,45,20,10
4.5257556438446045,0.9488499764842684,friedman_mse,45,7,3
4.354011297225952,0.9602450226411816,poisson,40,20,10
3.812021255493164,0.9601305919359113,squared_error,35,20,10
5.091830492019653,0.956639826613537,poisson,30,20,3
3.2629995346069336,0.9637674053316685,squared_error,15,20,10
2.4900009632110596,0.9660632446285551,friedman_mse,10,20,10
2.486013889312744,0.9659255115540175,squared_error,10,20,3
1.6480340957641602,0.9559830180622679,poisson,5,20,8
3.3070218563079834,0.9621065394877351,squared_error,15,10,5
2.9489126205444336,0.9657679752969625,poisson,10,20,1
1.5339608192443848,0.9562703305869225,friedman_mse,5,5,1
2.4492571353912354,0.9657166824425495,squared_error,10,20,1
3.8057329654693604,0.9622698555996445,poisson,15,20,1
3.677271604537964,0.9639971215986867,poisson,15,20,10
3.8168766498565674,0.9601313839608345,squared_error,60,20,10
2.9463229179382324,0.9659802731752671,poisson,10,20,4
5.22301459312439,0.9530197827429392,poisson,60,20,1
4.311991214752197,0.9463587173927047,squared_error,20,2,1
3.8593664169311523,0.9601299072865865,squared_error,55,20,10
4.358029127120972,0.9609255828621969,poisson,20,20,10
2.535905122756958,0.9660061384803397,squared_error,10,20,7
2.5320956707000732,0.9660632446285551,squared_error,10,20,10
2.5032496452331543,0.9660632666198469,squared_error,10,20,10
