Duration,Value,criterion,max_depth,min_samples_split,min_samples_leaf
4.385008335113525,0.9514344419227501,squared_error,45,10,3
2.6312544345855713,0.9660483016960526,poisson,10,19,9
3.2614481449127197,0.9632935087247028,friedman_mse,15,16,8
4.415536403656006,0.9506136585754466,friedman_mse,55,9,3
2.6818017959594727,0.9660084241877558,poisson,10,17,6
3.846078634262085,0.9595094634524705,friedman_mse,40,19,9
4.025742769241333,0.9579242517014961,friedman_mse,25,16,7
3.1971566677093506,0.9626136667530526,friedman_mse,15,13,6
4.738086223602295,0.9567237267667883,poisson,30,16,5
3.655984401702881,0.9598475587819253,friedman_mse,20,18,8
4.219209909439087,0.960370327731308,poisson,20,18,9
1.6020145416259766,0.9559830180622679,poisson,5,12,4
3.880673408508301,0.9597076158011308,friedman_mse,20,19,7
3.9269697666168213,0.9574920365487264,squared_error,35,15,7
4.711026906967163,0.946674142033278,friedman_mse,40,7,2
3.8821091651916504,0.957010520234188,squared_error,20,13,4
4.010984659194946,0.9557068134328294,friedman_mse,45,12,6
2.6891798973083496,0.9659290330251513,poisson,10,11,4
2.7880859375,0.9660267378903024,poisson,10,19,8
2.7020249366760254,0.9660719234172239,poisson,10,20,10
2.7190704345703125,0.9658939574347795,poisson,10,20,2
2.4065802097320557,0.9658813808992572,squared_error,10,14,4
2.45373272895813,0.9660536894556536,squared_error,10,20,9
2.4490253925323486,0.9657126248919079,squared_error,10,20,1
4.369369745254517,0.9602478686457451,poisson,60,20,10
