Duration,Value,criterion,max_depth,min_samples_split,min_samples_leaf
3.963693857192993,0.9571881000562694,friedman_mse,35,14,7
3.2517831325531006,0.9608604398741916,friedman_mse,15,7,2
3.2591753005981445,0.963413641797568,squared_error,15,20,7
3.749451160430908,0.959656273492536,squared_error,20,17,8
2.4915378093719482,0.9660016788289909,squared_error,10,19,7
1.625999927520752,0.9559830180622679,poisson,5,20,10
2.420001983642578,0.9659670688608999,squared_error,10,20,5
1.4740183353424072,0.9562703305869225,squared_error,5,20,3
2.953951358795166,0.9660215151503436,poisson,10,20,7
2.49001145362854,0.9660264524827002,squared_error,10,16,8
4.5380024909973145,0.950463138279034,friedman_mse,60,11,2
5.036015510559082,0.9538620786436482,poisson,25,20,1
4.4119343757629395,0.9602431563324687,poisson,50,20,10
4.843000411987305,0.9474608508221063,squared_error,45,11,1
3.8380870819091797,0.9601348153930369,squared_error,30,20,10
4.550714015960693,0.9602488951374533,poisson,55,20,10
2.903809070587158,0.9660734231646668,poisson,10,20,10
2.491410255432129,0.9660632446285551,squared_error,10,20,10
3.73276948928833,0.9639965589659456,poisson,15,20,10
4.496057510375977,0.9602912113468222,poisson,25,20,10
3.295996904373169,0.9637666683374698,squared_error,15,20,10
2.551262617111206,0.9660061384803397,squared_error,10,20,7
2.7359490394592285,0.9660478215462192,poisson,10,18,9
4.463729381561279,0.9602442884470339,poisson,45,20,10
3.8320181369781494,0.9601334941601554,squared_error,60,20,10
