Duration,Value,criterion,max_depth,min_samples_split,min_samples_leaf
3.972665548324585,0.9572892445775467,friedman_mse,55,18,5
3.845268964767456,0.9589077749066517,friedman_mse,55,18,8
5.774801015853882,0.9357037608445611,squared_error,60,2,1
3.7060046195983887,0.9601291507880998,friedman_mse,50,20,10
1.4731533527374268,0.9562703305869225,friedman_mse,5,20,10
2.3688230514526367,0.9657887679468873,friedman_mse,10,17,2
3.235527515411377,0.9615169397050044,friedman_mse,15,16,1
3.9648845195770264,0.9635357533513623,poisson,15,16,8
3.752000570297241,0.9601808523548044,squared_error,25,20,10
1.767155408859253,0.9559830180622679,poisson,5,2,1
5.928427457809448,0.9383859451021136,poisson,25,2,1
3.418321132659912,0.9631826845086113,squared_error,15,20,5
3.6108388900756836,0.9607891527052008,squared_error,20,20,10
3.768967628479004,0.9601291528429391,squared_error,35,20,10
3.7755963802337646,0.9601355631369086,squared_error,45,20,10
3.7770256996154785,0.9596799440119289,poisson,15,5,1
2.728069543838501,0.9660146651741591,poisson,10,19,5
2.518312931060791,0.9660632446285551,friedman_mse,10,20,10
4.438848972320557,0.9602458102458709,poisson,30,20,10
2.4431350231170654,0.9658584025680798,squared_error,10,9,4
4.366816282272339,0.9602444753313122,poisson,60,20,10
5.240821123123169,0.9522112526445914,poisson,50,18,1
4.412065267562866,0.9602458769660249,poisson,40,20,10
2.80535626411438,0.966019977660812,poisson,10,16,8
2.459622859954834,0.9657173220013597,squared_error,10,20,1
