Duration,Value,criterion,max_depth,min_samples_split,min_samples_leaf
6.112125,0.9593602242340914,squared_error,50,20,8
8.162134,0.9585023322159903,poisson,35,20,6
8.545874,0.9554902566052453,poisson,50,15,4
14.469133,0.9601286770662008,friedman_mse,60,20,10
12.765123,0.957496685355472,squared_error,45,15,7
14.252125,0.9559830180622679,poisson,5,20,10
21.803127,0.9598521238151546,squared_error,20,18,8
20.802134,0.9660215151503436,poisson,10,20,7
29.240162,0.9478526132673336,squared_error,35,6,3
26.240645,0.9567139953360787,poisson,55,16,5
32.405162,0.946759473496372,poisson,40,7,2
29.068161,0.9627045637491809,squared_error,15,16,4
31.783162,0.9538915060110089,squared_error,60,10,5
30.407164,0.9631096045087035,friedman_mse,15,18,6
29.453166,0.96024473098587,poisson,55,20,10
30.105164,0.9537280358715586,friedman_mse,25,15,2
26.443037,0.9601292257602421,squared_error,60,20,10
28.715036,0.9539669466883014,poisson,50,12,4
27.353038,0.9660717078913443,poisson,10,20,10
26.296036,0.958552140612659,poisson,50,16,8
26.273035,0.9520100925267588,squared_error,35,9,4
30.218076,0.9443621610487931,poisson,40,5,2
24.366073,0.9585076520769242,poisson,55,20,6
23.848048,0.9580923580724481,friedman_mse,30,17,7
19.422533,0.9562703305869225,squared_error,5,20,10
