Duration,Value,criterion,max_depth,min_samples_split,min_samples_leaf
7.798089,0.9563933946554325,squared_error,20,10,5
31.345094,0.9544783493868827,squared_error,35,13,4
35.732234,0.9384852795633611,friedman_mse,40,4,1
35.083236,0.953551889827477,poisson,25,19,1
24.086256,0.9521083683943716,poisson,30,9,4
28.898253,0.9572349312662178,friedman_mse,30,16,6
32.97124,0.9624848129153604,friedman_mse,15,15,3
27.769258,0.9569131113371221,squared_error,25,18,4
20.049195,0.9565489681041427,poisson,30,14,6
27.075255,0.948041011355588,poisson,60,12,1
15.787193,0.9659932500837425,poisson,10,13,6
29.366769,0.9659341560831392,squared_error,10,13,6
34.035236,0.9534924588562781,poisson,55,13,3
11.900148,0.9613567869484445,friedman_mse,15,10,2
34.101236,0.9380866872983258,poisson,50,4,1
31.937152,0.9601330483108477,squared_error,35,20,10
29.161145,0.9496474184796568,friedman_mse,25,12,1
26.477089,0.9572895654912846,squared_error,45,18,5
25.697178,0.9488338446684705,squared_error,25,11,1
21.821175,0.9595119353797944,friedman_mse,30,19,9
18.976117,0.9588312886217825,friedman_mse,20,18,5
19.633656,0.9602429317169351,poisson,60,20,10
19.942958,0.9545324332567029,poisson,60,11,5
16.017114,0.9562703305869225,squared_error,5,10,3
17.279149,0.9559830180622679,poisson,5,19,7
