Duration,Value,criterion,max_depth,min_samples_split,min_samples_leaf
16.885726,0.9520878218302352,poisson,50,9,4
10.737677,0.9562703305869225,squared_error,5,18,6
4.129039,0.9660476916227994,friedman_mse,10,18,9
16.195726,0.9559275405556512,poisson,20,11,3
26.660782,0.9402070252866975,squared_error,60,5,1
27.20683,0.9561792006316449,friedman_mse,25,16,4
30.030835,0.959150561006676,friedman_mse,40,19,8
28.945832,0.9550595900995134,poisson,35,14,4
30.670832,0.9563653768461456,poisson,50,15,5
29.891836,0.9604815623429461,friedman_mse,20,20,9
32.133351,0.9574350181991459,poisson,55,18,5
33.619352,0.9516109169510933,poisson,30,10,3
32.416352,0.9564798207097862,squared_error,50,14,6
32.234351,0.9601295439082265,friedman_mse,40,20,10
33.825351,0.9468441423453309,squared_error,30,7,2
35.059354,0.9558876541413006,poisson,35,16,4
27.553313,0.9559830180622679,poisson,5,15,6
28.338675,0.9479364199335597,poisson,50,8,2
21.644636,0.9562219980896657,friedman_mse,40,19,3
22.65763,0.9607855580120642,friedman_mse,20,20,10
16.403573,0.9568889051228548,squared_error,20,14,3
17.643519,0.9514373809271592,squared_error,60,10,3
16.659519,0.9535306921026123,friedman_mse,55,16,2
17.924518,0.9601329789075639,friedman_mse,30,20,10
20.307514,0.952617469408793,poisson,50,19,1
