Duration,Value,criterion,max_depth,min_samples_split,min_samples_leaf
6.811006,0.959504266597985,poisson,30,20,8
16.878004,0.9590493351395004,poisson,40,18,8
23.601001,0.9577415291976704,poisson,35,19,5
18.280007,0.9574952139492172,squared_error,35,15,7
27.425007,0.9586138531888082,squared_error,20,17,5
28.467002,0.951239554863068,poisson,40,12,2
27.028004,0.940093789984809,squared_error,55,5,1
20.772007,0.966049871965249,friedman_mse,10,19,9
26.803002,0.9633551436596207,squared_error,15,17,8
28.968999,0.9549769832907364,friedman_mse,25,18,2
29.216003,0.960132517642525,squared_error,55,20,10
31.263004,0.9478821438674668,poisson,40,8,2
32.219002,0.9534724086234881,poisson,25,12,3
32.663002,0.9592702229306468,poisson,50,19,8
35.262003,0.9442479687807905,poisson,40,5,2
28.873002,0.9562703305869225,friedman_mse,5,15,7
29.182994,0.953169643799084,poisson,60,15,2
19.240998,0.9598511197251032,poisson,20,17,8
19.377002,0.9660382047734801,friedman_mse,10,20,8
19.705005,0.9562133842984295,squared_error,50,19,3
18.382006,0.9592685036183728,poisson,55,19,8
15.178001,0.9564775786815692,squared_error,45,14,6
20.167997,0.9498671425085258,poisson,50,8,3
19.867035,0.9584866081841353,poisson,20,19,3
18.105998,0.9597701058337587,friedman_mse,25,20,9
