Duration,Value,criterion,max_depth,min_samples_split,min_samples_leaf
19.890782,0.9509304869964639,friedman_mse,25,14,1
13.170784,0.9584727339741244,friedman_mse,30,16,8
12.864782,0.9573856411357919,poisson,30,20,4
21.301783,0.9623645586391838,friedman_mse,15,13,4
22.514823,0.9622508660916221,friedman_mse,15,13,3
17.590785,0.9660282309379703,poisson,10,18,8
21.304784,0.9639978619337007,poisson,15,20,10
25.25941,0.9562703305869225,friedman_mse,5,5,1
30.986937,0.9455339505319872,poisson,50,6,2
31.972937,0.9595260287025422,poisson,50,18,9
29.848934,0.9584004081733207,friedman_mse,35,20,6
30.093936,0.9566910618686084,poisson,45,18,4
29.875937,0.9570382919374719,friedman_mse,25,15,6
30.744937,0.9562250632269972,friedman_mse,40,15,5
32.756936,0.945535580718345,friedman_mse,45,6,2
31.996935,0.9541083692535169,friedman_mse,20,8,3
17.054153,0.9562703305869225,squared_error,5,15,1
21.610152,0.9578432310504026,squared_error,60,18,6
23.131152,0.9351738578542813,poisson,35,2,1
17.520155,0.9601304761078445,squared_error,45,20,10
19.813148,0.9490671947381426,squared_error,50,13,1
21.511153,0.9585304867215625,friedman_mse,20,18,4
23.936109,0.955156278846626,poisson,30,19,2
21.405533,0.9595271091199127,poisson,40,18,9
16.932159,0.955848119104251,friedman_mse,30,18,3
