Duration,Value,criterion,max_depth,min_samples_split,min_samples_leaf
7.434007,0.9573776256855885,poisson,50,20,4
19.958521,0.9550259126544154,squared_error,40,14,4
9.470001,0.9562703305869225,squared_error,5,20,7
7.638003,0.9599038104917466,poisson,60,20,9
31.40552,0.9569348882066929,poisson,25,20,3
25.972518,0.9592677890271304,poisson,50,19,8
26.884524,0.9596998255228861,poisson,50,19,9
26.235523,0.9609269284381867,poisson,20,20,10
30.40252,0.9639964241877458,poisson,15,20,10
29.549524,0.9601321988610316,friedman_mse,60,20,10
30.759521,0.9601280545489072,squared_error,55,20,10
27.759527,0.9584686250196738,squared_error,35,16,8
30.029522,0.9579286605675581,squared_error,45,20,5
29.517524,0.9660476916227994,friedman_mse,10,18,9
28.723524,0.9590106590738084,poisson,30,20,7
27.387522,0.9562703305869225,squared_error,5,20,9
25.820575,0.9601273051615402,squared_error,45,20,10
26.81458,0.9601308671456206,squared_error,50,20,10
28.776579,0.9531715382451923,poisson,45,15,2
17.177058,0.9659886821166118,poisson,10,13,5
13.753058,0.9558327215502841,friedman_mse,50,18,3
16.533049,0.9591419026608705,squared_error,35,19,8
17.115054,0.9596128681354195,poisson,15,4,1
17.627054,0.9548539964313927,friedman_mse,35,12,5
18.580054,0.9593560362913056,squared_error,40,20,8
