Duration,Value,criterion,max_depth,min_samples_split,min_samples_leaf
13.52807,0.9551164485608343,poisson,35,19,2
11.813071,0.963489243549612,squared_error,15,19,8
10.37607,0.9589105556828823,friedman_mse,60,18,8
18.54463,0.9660283708154088,friedman_mse,10,18,8
16.786631,0.9601333743411203,friedman_mse,55,20,10
20.19063,0.9587901372491254,poisson,40,17,8
19.03063,0.9578380746008268,squared_error,20,17,3
28.87866,0.9443659669520997,friedman_mse,60,8,1
23.419663,0.9593484013086115,squared_error,30,18,9
21.701148,0.9657121916885556,friedman_mse,10,7,2
27.191662,0.9580665158481247,squared_error,20,15,5
25.529664,0.9562703305869225,friedman_mse,5,19,9
25.169661,0.9559830180622679,poisson,5,8,2
27.742662,0.9540605333753984,squared_error,30,14,3
29.443662,0.9567099107046564,poisson,30,18,4
31.455664,0.936103703496047,squared_error,30,2,1
18.346592,0.9658216077655657,friedman_mse,10,8,3
17.783593,0.9559830180622679,poisson,5,15,4
19.874246,0.959343408976536,squared_error,35,18,9
19.427039,0.9558897494721366,poisson,60,16,4
18.003041,0.9593508512302018,squared_error,30,18,9
18.032043,0.9659381092314666,poisson,10,12,4
20.358043,0.957318910974946,squared_error,60,20,4
19.069527,0.9626151518367033,poisson,15,12,4
18.07055,0.9581293066831611,friedman_mse,55,19,6
