Duration,Value,criterion,max_depth,min_samples_split,min_samples_leaf
7.205,0.9550570002456584,poisson,40,14,4
14.479002,0.9568923495336392,friedman_mse,45,15,6
13.877007,0.9559830180622679,poisson,5,20,9
14.912004,0.9560135456918669,poisson,30,14,5
14.650004,0.9515275927292788,poisson,35,10,3
16.036997,0.9484707706408051,friedman_mse,30,12,1
26.319003,0.9583664107548371,squared_error,20,19,3
18.498004,0.9559830180622679,poisson,5,20,10
18.180002,0.9638204938366606,poisson,15,18,9
24.070002,0.9573279538588052,friedman_mse,25,14,7
27.048003,0.963183984471625,squared_error,15,19,6
25.552999,0.9597044947319429,squared_error,45,20,9
28.140001,0.959346441635982,friedman_mse,55,18,9
28.463005,0.9593515726003481,squared_error,55,18,9
25.484001,0.9659424237653645,poisson,10,14,3
24.919002,0.9562703305869225,squared_error,5,5,1
22.598004,0.958639784753888,squared_error,40,19,7
17.038997,0.9585505754675504,friedman_mse,25,16,8
15.154998,0.9562703305869225,squared_error,5,20,10
20.183005,0.9530623229396626,squared_error,50,20,1
21.737998,0.9540609898591983,poisson,45,14,3
22.046001,0.9512721432776056,poisson,40,12,2
21.500999,0.9583582299661317,squared_error,35,18,7
22.443999,0.9595098199955825,friedman_mse,60,19,9
18.070014,0.9582130511703466,poisson,20,18,3
