Time,Time,MAE,MAE,R2,R2,Params,Params,Params,Params,Time,Time,MAE,R2
Train,Val,Train,Val,Train,Val,criterion,max_depth,min_samples_leaf,min_samples_split,Iteration,Test,Test,Test
2.9494234910378085,0.0309401640525231,796.9967343419559,1006.4675610055388,0.9743777320353588,0.9606371424501444,squared_error,10,10,20,89.6454668045044,0.015993595123291,922.995445079118,0.96572678891086
2.8348749032387364,0.0273693873332097,817.3530433930432,995.6714280694264,0.9730971587870272,0.9613802844960052,squared_error,10,10,20,86.33115267753601,0.0150139331817626,922.995445079118,0.96572678891086
2.9366362443337075,0.0293463541911198,803.9727461668068,1003.9859240429104,0.9740888799078764,0.9609369521477852,poisson,10,10,20,88.60022759437561,0.0160005092620849,922.8739395703268,0.9657481346430684
2.905057703531706,0.0298250913619995,784.7678888457483,1017.2365589455856,0.9748659519967094,0.9601941931789658,poisson,10,10,20,87.05958294868469,0.0149998664855957,922.8739395703268,0.9657481346430684
3.0273413493083074,0.0304775366416344,777.7140302644228,1011.6500206982072,0.97483312783657,0.9600258121267232,poisson,10,10,20,91.86587905883788,0.0140020847320556,922.8739395703268,0.9657481346430684
3.1021365991005534,0.0338848370772141,746.7513564507964,1027.3434828695044,0.9762753063988312,0.9589104308962882,friedman_mse,10,10,20,93.87440347671507,0.0150008201599121,922.995445079118,0.96572678891086
3.490189058964069,0.0327310653833242,754.5634102594036,1036.857500487537,0.9773462271722722,0.959437386252247,poisson,15,10,20,105.02020168304443,0.020998477935791,950.7477475068794,0.9638714358111076
2.981823416856619,0.0318617123823899,789.1033071770131,1014.9394913655598,0.9742881879388238,0.9599572714968784,poisson,10,6,12,90.60930275917052,0.0160005092620849,923.6572219155404,0.96556988941852
2.858465396440946,0.0299810556265024,783.6603652706569,1004.8487988952244,0.974015639861681,0.9605052431760676,squared_error,10,10,20,87.1216688156128,0.0160014629364013,922.995445079118,0.96572678891086
3.4556724731738764,0.035025422389690704,717.0304622979745,1052.0423891862486,0.9795618591663907,0.9583339288706436,poisson,55,10,20,102.1704888343811,0.028002500534057617,1025.9718544809573,0.9597732708611887
