Duration,Value,criterion,max_depth,min_samples_split,min_samples_leaf
3.7574055194854736,0.9595127503429979,squared_error,50,19,9
3.6690354347229004,0.9595084508209901,friedman_mse,40,19,9
4.319841146469116,0.9477456835497975,squared_error,50,8,2
3.6504456996917725,0.9586440799709178,friedman_mse,60,19,7
4.71828293800354,0.954068352576748,poisson,35,14,3
4.4479146003723145,0.9583623837405613,poisson,20,17,4
3.7261061668395996,0.9572365783982211,friedman_mse,35,16,6
2.2595746517181396,0.9657875732650485,friedman_mse,10,18,2
3.614135980606079,0.9590846684166149,friedman_mse,20,19,5
3.8524351119995117,0.9574935741319331,friedman_mse,40,15,7
4.377411842346191,0.9567556878620467,poisson,20,20,1
3.5564539432525635,0.9601278860557828,friedman_mse,55,20,10
4.195785045623779,0.9597001528833655,poisson,60,19,9
4.454545497894287,0.9467048343801945,squared_error,45,7,2
3.856201171875,0.9560728211710575,squared_error,60,13,6
4.021557807922363,0.953460079329421,friedman_mse,45,13,3
3.5678279399871826,0.9616867657440705,poisson,15,7,3
1.3579998016357422,0.9562703305869225,friedman_mse,5,20,3
3.9563708305358887,0.9538899121159276,friedman_mse,40,12,4
3.0004568099975586,0.9634900701754642,squared_error,15,19,8
4.496922492980957,0.955457199801921,poisson,20,10,3
4.1831865310668945,0.9595906156927256,poisson,25,18,9
4.615163564682007,0.9558603461221027,poisson,45,18,3
3.651132583618164,0.9586450057261118,squared_error,40,19,7
2.5405502319335938,0.9660220928694695,poisson,10,18,7
