Duration,Value,criterion,max_depth,min_samples_split,min_samples_leaf
2.3261332511901855,0.9657192973161879,squared_error,10,7,2
4.19043231010437,0.9530417143221133,friedman_mse,55,15,2
4.654526233673096,0.9424984869348545,squared_error,25,5,1
3.710543155670166,0.9595099116932209,friedman_mse,45,19,9
3.8543484210968018,0.9588958522178344,squared_error,35,20,7
4.106823205947876,0.9545465567560992,friedman_mse,45,15,3
3.815898895263672,0.9588524223941786,poisson,15,2,1
3.733311176300049,0.9584698166949852,squared_error,60,16,8
1.3877568244934082,0.9562703305869225,squared_error,5,3,1
3.83984637260437,0.9579640811219937,squared_error,25,18,6
3.9169468879699707,0.956604585744223,squared_error,55,16,5
2.44931697845459,0.9657025945480541,squared_error,10,16,1
3.720721483230591,0.9591444087804721,squared_error,35,19,8
3.1487538814544678,0.9627919255398666,squared_error,15,18,3
3.6253299713134766,0.9603193072098278,squared_error,20,19,9
3.8799057006835938,0.9580899625884545,friedman_mse,60,17,7
4.271692276000977,0.9602456028376564,poisson,40,20,10
4.009999513626099,0.9545508974038273,friedman_mse,60,15,3
2.727315902709961,0.965745927795546,poisson,10,16,1
4.275001287460327,0.9510259338357325,friedman_mse,60,16,1
4.346502065658569,0.9567590414834939,poisson,20,12,4
3.720029592514038,0.9593509377770031,squared_error,40,18,9
3.8066937923431396,0.9575489825115809,friedman_mse,50,17,6
3.6682257652282715,0.9586731053147869,squared_error,40,17,8
1.5380005836486816,0.9559830180622679,poisson,5,2,1
