Duration,Value,criterion,max_depth,min_samples_split,min_samples_leaf
4.1832664012908936,0.9545799612283282,squared_error,30,15,3
3.7858543395996094,0.9589017931701449,squared_error,50,18,8
3.1660869121551514,0.9623614617449352,friedman_mse,15,12,5
4.39971661567688,0.9497813759345608,friedman_mse,60,8,3
1.4335746765136719,0.9562703305869225,friedman_mse,5,16,6
1.4916527271270752,0.9562703305869225,friedman_mse,5,20,5
6.700475215911865,0.9351479681232842,poisson,60,2,1
3.700021505355835,0.9632338255531957,poisson,15,18,4
3.6637766361236572,0.9631901862052512,poisson,15,15,6
4.321824312210083,0.9520334037373811,friedman_mse,30,9,4
5.363280534744263,0.9496844176407858,poisson,45,14,1
4.211266040802002,0.9526511941493266,squared_error,35,10,4
2.653346300125122,0.9660129826859574,poisson,10,17,5
2.782655954360962,0.9660725903113043,poisson,10,20,10
4.460103511810303,0.958363185578951,poisson,25,19,6
3.762796401977539,0.9601797312335059,squared_error,25,20,10
1.4211194515228271,0.9562703305869225,friedman_mse,5,15,4
4.89139986038208,0.9550357340184921,poisson,55,12,5
3.7833425998687744,0.9584697505508517,squared_error,40,16,8
3.884079933166504,0.9574998880027289,friedman_mse,50,15,7
2.7033722400665283,0.9660087213717219,poisson,10,17,6
3.2881455421447754,0.9625822172133395,squared_error,15,14,5
3.805647611618042,0.9592768698576096,squared_error,20,17,7
5.732975721359253,0.9453141438449972,poisson,60,9,1
4.877479314804077,0.9545351078096503,poisson,40,11,5
