Duration,Value,criterion,max_depth,min_samples_split,min_samples_leaf
50.24512839317322,0.956285841067244,poisson,30,19,3
53.23712873458862,0.9577494729223455,poisson,30,19,5
40.316123962402344,0.9548577467173059,friedman_mse,45,12,5
37.383589029312134,0.956709807531366,poisson,30,18,4
53.91612482070923,0.9562288251963856,squared_error,45,15,5
46.73112177848816,0.9657457597531671,poisson,10,14,1
33.82459306716919,0.9531690287579948,poisson,55,15,2
36.62159276008606,0.9586411022567439,friedman_mse,35,19,7
40.620121240615845,0.9580922731766464,friedman_mse,55,17,7
43.46812844276428,0.9581806656352925,poisson,35,17,7
23.4235942363739,0.9660264524827002,friedman_mse,10,16,8
53.56712627410889,0.9417965995333359,squared_error,35,6,1
56.1051242351532,0.9632960935473756,squared_error,15,16,8
55.97512602806091,0.9633249937571812,poisson,15,19,4
54.04812836647034,0.9521758436379122,poisson,35,18,1
48.336124897003174,0.9568875083126203,squared_error,55,15,6
25.425519704818726,0.9557966820552695,squared_error,50,14,5
27.21252179145813,0.9591141238668026,squared_error,20,18,6
20.743520498275757,0.9658991135126165,squared_error,10,16,4
20.614525079727173,0.9660262057523031,poisson,10,17,8
28.432518482208252,0.9579233309670604,friedman_mse,25,16,7
25.30951714515686,0.9542687897985088,poisson,30,17,2
27.6565203666687,0.9568863027690657,friedman_mse,55,15,6
27.56551504135132,0.9528217777100186,squared_error,35,12,3
12.47103762626648,0.95927284012614,poisson,40,19,8
