Duration,Value,criterion,max_depth,min_samples_split,min_samples_leaf
36.03499889373779,0.9504377933082668,squared_error,35,15,1
40.646000385284424,0.9539948693843527,squared_error,45,17,2
35.85599875450134,0.95214711313773,squared_error,40,11,3
25.225000143051147,0.9496511130955376,squared_error,40,10,2
40.56999635696411,0.9592664082715252,poisson,50,19,8
26.8600013256073,0.9587919748557121,poisson,50,17,8
28.18799924850464,0.9587907971741336,poisson,55,17,8
42.151997804641724,0.95385775335362,friedman_mse,45,10,5
44.588998794555664,0.950528839172933,poisson,35,11,2
40.11899447441101,0.9572970181527778,poisson,30,14,7
40.70500183105469,0.9539071212783993,friedman_mse,35,12,4
28.35699987411499,0.9660220928694695,poisson,10,18,7
40.809000968933105,0.9597606944811062,poisson,25,19,9
40.22299790382385,0.9592702452358404,poisson,40,19,8
33.06799936294556,0.9560682763210456,squared_error,45,13,6
44.22500538825989,0.9538424749412886,poisson,20,12,1
9.806999683380127,0.9586752175485118,squared_error,50,17,8
19.39200210571289,0.9453973714249031,poisson,45,9,1
17.071000814437866,0.9596928164349865,poisson,45,19,9
15.736001014709473,0.9577986053111764,friedman_mse,35,16,7
21.418999195098877,0.9595247153536726,poisson,55,18,9
20.107996940612793,0.9496636531908728,squared_error,50,10,2
20.422995805740356,0.9562703305869225,squared_error,5,15,2
21.025998830795288,0.9515731979175042,friedman_mse,50,17,1
20.108011722564697,0.9586699238835035,squared_error,60,17,8
