Duration,Value,criterion,max_depth,min_samples_split,min_samples_leaf
40.75599765777588,0.9483548767566606,squared_error,35,12,1
30.925997734069824,0.9530328937122154,squared_error,45,15,2
37.982003688812256,0.9558154694306934,squared_error,40,18,3
41.22700119018555,0.94968513415968,squared_error,40,10,2
40.07299828529358,0.9590451263700833,poisson,50,18,8
31.19899821281433,0.9592691103059063,poisson,50,19,8
21.87199878692627,0.9592691247791162,poisson,55,19,8
40.74499750137329,0.9562336116910108,friedman_mse,45,15,5
41.133997440338135,0.9497504733613502,poisson,35,10,2
45.731000900268555,0.9581914129792019,poisson,30,17,7
34.26199960708618,0.953332379536651,friedman_mse,35,11,4
21.89499545097351,0.9660102245516147,poisson,10,15,7
41.65199661254883,0.9595905318069432,poisson,25,18,9
42.988001585006714,0.9587844413731389,poisson,40,17,8
46.389999866485596,0.9556970104583563,squared_error,45,12,6
48.51699757575989,0.9528177594413088,poisson,20,10,1
11.56899905204773,0.958908492567485,squared_error,50,18,8
21.071996688842773,0.9503460654965533,poisson,45,15,1
15.10499906539917,0.9595260935102289,poisson,45,18,9
21.68899965286255,0.9578019866525895,friedman_mse,35,16,7
18.979000091552734,0.9595255713635684,poisson,55,18,9
20.866005897521973,0.9504416161799559,squared_error,50,11,2
16.9830002784729,0.9562703305869225,squared_error,5,18,2
19.737033367156982,0.9490110375060092,friedman_mse,50,13,1
19.311996459960938,0.9586749532203575,squared_error,60,17,8
