Time,Time,MAE,MAE,R2,R2,Params,Params,Params,Params,Time,Time,MAE,R2
Train,Val,Train,Val,Train,Val,criterion,max_depth,min_samples_leaf,min_samples_split,Iteration,Test,Test,Test
3.3464273262023934,0.0330974102020263,703.8274391606923,1056.3609311548769,0.9797131864972248,0.9576471158292164,poisson,10,7,18,94.63678526878356,0.0150001049041748,923.4360538425552,0.9656268925066216
3.415788734436036,0.0334648456573486,697.7787221338929,1067.2585225423356,0.9798433785832312,0.9565007310701176,friedman_mse,10,1,3,96.34692764282228,0.0139973163604736,924.9986710354544,0.9653713579009152
3.15029927444458,0.0316738739013671,743.1546350157759,1066.1221006635335,0.977316213939083,0.957232034332653,squared_error,10,6,12,89.9374053478241,0.0139989852905273,923.2888361984712,0.9656408652616114
3.366332460403442,0.0340267810821533,713.8107528848584,1062.9755578857678,0.979028642253262,0.9572723461010174,friedman_mse,10,8,17,95.61433601379396,0.0149993896484375,923.2405132671934,0.965701092509575
3.344478528976441,0.0340081634521484,712.6477965361718,1063.1209668172403,0.9780062765965633,0.9567891000690828,poisson,10,10,20,95.22329235076904,0.0140004158020019,922.8739395703268,0.9657481346430684
3.267189809799194,0.0330299701690673,718.8034211236512,1059.9661750716202,0.978906317059894,0.9574737325014504,poisson,10,9,19,92.86018753051758,0.01399827003479,922.7761209322272,0.9657535901183008
3.590991872787476,0.0375105152130126,646.3202972535429,1087.2817359091334,0.982136926772744,0.9553253872877836,friedman_mse,10,3,6,101.48490023612976,0.0159993171691894,924.15046395848,0.9655200884179084
3.505739751815796,0.0311154537200927,723.4683180787548,1035.2685865911503,0.9791881138428384,0.9591401097422114,squared_error,10,7,20,98.88181614875792,0.0140004158020019,923.1247441820776,0.9657059336620716
3.803542844772339,0.039317548751831,598.9313319747698,1099.88457841472,0.9843453575346256,0.9544114773577758,squared_error,20,9,19,107.00735783576964,0.0259993076324462,1015.1926422824016,0.9600480221680826
3.1358292427062993,0.03056732177734376,732.2768545298262,1049.0966649329553,0.9780290170401866,0.9579321880588475,poisson,10,1,16,89.48511958122253,0.014999628067016602,924.6337808110286,0.9654203899707782
