Duration,Value,criterion,max_depth,min_samples_split,min_samples_leaf
4.416,0.9496148538322771,friedman_mse,60,10,2
3.729,0.9595144467112521,squared_error,30,19,9
4.048,0.9554423042066729,squared_error,40,17,3
3.777,0.9589086192853546,friedman_mse,40,18,8
3.962,0.955798876735724,friedman_mse,60,14,5
4.399,0.9585490261542468,poisson,60,16,8
4.115,0.9553857720272777,friedman_mse,25,19,2
2.382,0.9657269089044138,friedman_mse,10,9,2
4.259,0.9522225428104649,friedman_mse,30,11,3
1.621,0.9559830180622679,poisson,5,7,3
2.323,0.9660016788289909,friedman_mse,10,19,7
3.77,0.958671782048628,friedman_mse,50,17,8
5.021,0.9527758240758217,poisson,30,10,4
4.04,0.9551106481824851,squared_error,25,12,5
3.695,0.9601314889924675,friedman_mse,45,20,10
3.833,0.9591497363942627,friedman_mse,55,19,8
3.738,0.9575032934342012,squared_error,20,12,6
3.832,0.9562525909015545,friedman_mse,20,19,1
4.692,0.9565885824296678,poisson,25,17,4
4.96,0.9520954922218247,poisson,35,9,4
1.441,0.9562703305869225,friedman_mse,5,14,6
2.377,0.965976312539474,friedman_mse,10,15,7
2.345,0.9659948663660805,friedman_mse,10,17,7
3.131,0.9632450698869353,friedman_mse,15,18,7
2.315,0.9660632446285551,friedman_mse,10,20,10
