Duration,Value,criterion,max_depth,min_samples_split,min_samples_leaf
4.01,0.9566075102274209,squared_error,55,16,5
4.819,0.9553331094614366,poisson,25,12,5
4.444,0.9590420823624803,poisson,50,18,8
4.088,0.9556981369469757,friedman_mse,60,12,6
3.835,0.9601317262147203,squared_error,45,20,10
4.612,0.9596975987484273,poisson,35,19,9
2.415,0.9660247200194017,squared_error,10,16,8
4.241,0.9534887552592088,squared_error,30,13,3
3.914,0.955627063135746,friedman_mse,20,11,3
4.007,0.9560757093504355,squared_error,40,13,6
3.973,0.9569632366139592,friedman_mse,55,17,5
4.022,0.9571902017884509,friedman_mse,35,14,7
3.929,0.9570238716064102,friedman_mse,20,17,2
1.498,0.9562703305869225,squared_error,5,16,3
4.434,0.9518739397724645,squared_error,55,13,2
5.285,0.9383742313848773,friedman_mse,40,4,1
5.119,0.9430816983826749,squared_error,30,4,2
4.333,0.9512944489447983,friedman_mse,45,8,4
3.752,0.9595100809033683,squared_error,40,19,9
4.132,0.9575477569096904,friedman_mse,35,17,6
1.57,0.9562703305869225,squared_error,5,20,10
2.551,0.9660632446285551,squared_error,10,20,10
2.489,0.9660266997082623,squared_error,10,17,8
3.283,0.9635410306686094,squared_error,15,18,9
2.773,0.9660262057523031,poisson,10,17,8
