Duration,Value,criterion,max_depth,min_samples_split,min_samples_leaf
5.174,0.9535274103896748,squared_error,20,7,3
5.739,0.9563678757383547,poisson,35,15,5
4.846,0.9583637043335169,friedman_mse,30,18,7
4.619,0.9543597491159893,friedman_mse,55,11,5
4.573,0.9573029090354164,poisson,55,14,7
3.923,0.9575461637625334,squared_error,45,17,6
4.826,0.9559908401320565,poisson,35,14,5
5.186,0.9507429079769777,poisson,55,9,3
3.668,0.960785371996286,friedman_mse,20,20,10
4.337,0.9593621991264694,poisson,20,18,6
2.883,0.9659058877131331,poisson,10,6,3
3.855,0.9595142180562346,squared_error,40,19,9
4.024,0.955138035414557,friedman_mse,20,10,3
3.894,0.9581317180680726,friedman_mse,45,19,6
5.586,0.9442460763368803,poisson,40,5,2
4.041,0.9562013773846946,squared_error,25,18,3
2.308,0.9656774268716923,squared_error,10,5,2
3.715,0.9595132519551651,squared_error,40,19,9
3.919,0.9566123700658629,squared_error,40,16,5
4.772,0.9442982560656297,friedman_mse,60,8,1
1.567,0.9559830180622679,poisson,5,2,1
1.4,0.9562703305869225,squared_error,5,4,2
2.299,0.96585324153345,squared_error,10,10,4
2.629,0.9659152243863642,poisson,10,10,4
2.692,0.9659188059757613,poisson,10,10,4
