Duration,Value,criterion,max_depth,min_samples_split,min_samples_leaf
3.768,0.9589122355118617,squared_error,50,18,8
5.633,0.9355488536284204,friedman_mse,45,2,1
2.637,0.9656259774665006,poisson,10,2,1
4.751,0.9535294255904925,poisson,20,8,2
3.271,0.9616484201024612,squared_error,15,17,1
1.72,0.9559830180622679,poisson,5,19,4
3.666,0.9590850137088186,squared_error,20,19,5
4.125,0.9572912603253068,friedman_mse,45,18,5
4.033,0.9548435534051848,friedman_mse,50,12,5
3.761,0.9593478043235105,friedman_mse,40,18,9
3.727,0.9593466837778474,squared_error,35,18,9
2.337,0.9659170261648373,squared_error,10,18,4
3.894,0.9571928926403007,squared_error,35,14,7
4.058,0.9566069507151045,friedman_mse,50,16,5
3.721,0.9595130229097757,friedman_mse,30,19,9
3.878,0.9568806320682629,friedman_mse,35,15,6
3.805,0.9572373436571887,friedman_mse,20,15,3
3.724,0.9589085718499465,friedman_mse,35,18,8
1.635,0.9562703305869225,friedman_mse,5,11,4
4.338,0.9596978616517635,poisson,55,19,9
2.648,0.9657881369442867,poisson,10,6,2
2.694,0.9659271291974706,poisson,10,8,3
4.188,0.9534035904892528,squared_error,25,12,3
2.664,0.965959260052746,poisson,10,18,3
3.655,0.961876065263491,poisson,15,8,3
