Duration,Value,criterion,max_depth,min_samples_split,min_samples_leaf
3.856,0.9557492045714104,squared_error,20,10,4
3.683,0.9625984566467647,poisson,15,13,3
4.477,0.9478938685175964,squared_error,30,6,3
5.505,0.9358066407382962,squared_error,45,2,1
4.601,0.9477345297681083,squared_error,40,8,2
4.728,0.9577402585648956,poisson,35,19,5
3.623,0.9635345282997699,poisson,15,16,8
3.941,0.9572910387741584,squared_error,40,18,5
3.694,0.960128548526004,squared_error,45,20,10
4.157,0.9533300439966694,squared_error,50,11,4
3.945,0.9574959097343785,squared_error,35,15,7
3.165,0.961028792706958,friedman_mse,15,6,3
4.522,0.9590454321101847,poisson,40,18,8
3.197,0.9615610142839813,squared_error,15,11,2
4.444,0.9581804159171711,poisson,40,17,7
3.693,0.9601816821379409,friedman_mse,20,18,9
4.349,0.9595263627070016,poisson,40,18,9
3.772,0.9579256539485546,friedman_mse,25,16,7
3.776,0.9581344194030195,squared_error,40,19,6
3.798,0.9592185094412684,squared_error,25,19,8
2.712,0.9659993753700373,poisson,10,16,6
2.677,0.9659959541283462,poisson,10,15,6
2.633,0.9660017328818039,poisson,10,16,6
1.648,0.9559830180622679,poisson,5,17,6
1.57,0.9559830180622679,poisson,5,19,5
