Duration,Value,criterion,max_depth,min_samples_split,min_samples_leaf
3.889,0.9593517516989355,squared_error,30,18,9
4.076,0.9577981211571931,friedman_mse,50,16,7
5.23,0.9514519335757979,poisson,35,8,4
4.715,0.956710939500297,poisson,50,16,5
3.977,0.9557083883850455,friedman_mse,45,12,6
1.384,0.9562703305869225,squared_error,5,18,9
3.977,0.9564792057196204,friedman_mse,55,14,6
4.657,0.9575986839767809,poisson,40,17,6
4.617,0.9565505469618879,poisson,40,14,6
3.664,0.9601275112125348,friedman_mse,40,20,10
4.326,0.9590443406201097,poisson,55,18,8
4.31,0.9511778633763719,squared_error,50,12,2
4.098,0.9554828478232713,squared_error,30,17,3
3.944,0.9572270638689344,squared_error,35,16,6
3.712,0.9626205000396446,poisson,15,12,4
3.639,0.9601774746297689,friedman_mse,25,20,10
4.93,0.9527545136381101,poisson,45,10,4
1.4,0.9562703305869225,squared_error,5,13,6
4.369,0.9497769114228405,squared_error,50,8,3
1.556,0.9559830180622679,poisson,5,17,7
3.833,0.955306484038618,friedman_mse,20,16,1
3.102,0.962363903164832,friedman_mse,15,13,4
3.159,0.9627091256953715,friedman_mse,15,16,4
3.225,0.9620641023331273,friedman_mse,15,15,2
2.677,0.9659613690947954,poisson,10,19,3
