Duration,Value,criterion,max_depth,min_samples_split,min_samples_leaf
3.919,0.9630844573937146,poisson,15,14,6
4.073,0.9579688522695842,friedman_mse,25,18,6
4.791,0.9585468463331717,poisson,45,16,8
4.394,0.9533551857672162,friedman_mse,30,11,4
2.9,0.9659938471800448,poisson,10,13,6
5.864,0.9442774246656098,poisson,40,5,2
2.589,0.9658623261768284,squared_error,10,12,3
3.279,0.9635930999699577,squared_error,15,19,9
5.396,0.9531693370435533,poisson,45,15,2
5.741,0.9488430594590375,poisson,50,7,3
4.036,0.9562127032469906,friedman_mse,20,11,4
1.53,0.9562703305869225,squared_error,5,20,10
3.385,0.9623421500407003,friedman_mse,15,14,3
4.211,0.955876703120017,friedman_mse,25,12,6
4.567,0.9595252705333941,poisson,40,18,9
4.705,0.9488485631058687,squared_error,55,7,3
3.788,0.9638763767504452,poisson,15,19,9
5.003,0.9562295513126369,poisson,25,18,3
5.069,0.954549518633754,poisson,60,15,3
4.567,0.9596981789799747,poisson,30,19,9
1.759,0.9562703305869225,squared_error,5,15,7
1.569,0.9562703305869225,squared_error,5,13,4
2.493,0.9659137732270014,squared_error,10,12,5
2.443,0.9659175569498185,squared_error,10,12,5
2.639,0.9659783132265588,squared_error,10,14,7
