Time,Time,MAE,MAE,R2,R2,Params,Params,Params,Params,Time,Time,MAE,R2
Train,Val,Train,Val,Train,Val,criterion,max_depth,min_samples_leaf,min_samples_split,Iteration,Test,Test,Test
3.3008498973846434,0.0346228294372558,720.5975918914639,1055.6053554223668,0.9781875764745828,0.9575811348033584,poisson,10,4,10,96.54633021354675,0.0160000324249267,924.6761011044736,0.9654412763253788
3.28345097541809,0.033491621017456,745.4107200205764,1042.4222579363168,0.977151552313058,0.9584988599929054,squared_error,10,8,16,96.22592663764954,0.0180120468139648,923.3290347356698,0.9656927469457598
3.3080435848236083,0.0370879306793212,702.1553177749324,1063.4201759782052,0.9789132675974912,0.9569913487985806,squared_error,10,10,20,93.59927725791933,0.0160000324249267,922.995445079118,0.96572678891086
3.417544225692749,0.0346231670379638,727.102550441212,1042.3676944542349,0.977304497251536,0.9581557383690504,poisson,10,10,20,96.62739419937134,0.0150008201599121,922.8739395703268,0.9657481346430684
3.3491895313262945,0.0347274990081787,754.0586606317246,1043.8512844645122,0.9762967878371436,0.9583389634858658,poisson,10,6,13,94.78131246566772,0.0159990787506103,923.6183453988764,0.9655759647523828
3.29572268486023,0.0340477333068847,734.3052589409576,1059.4345843485787,0.9779199340164968,0.9574786904468,poisson,10,3,19,92.53662633895874,0.0140001773834228,924.0410059135414,0.9655447522489976
3.2716064376831064,0.035809398651123,717.2157458560415,1049.7772868225322,0.9781337838234246,0.957762736371954,poisson,10,6,16,92.2377905845642,0.0149991512298583,923.4734421917278,0.9655883853743508
3.1360761528015138,0.0333757286071777,741.5824946238188,1046.096827574656,0.9774272080690422,0.958359092409913,friedman_mse,10,10,20,88.29406142234802,0.0149998664855957,922.995445079118,0.96572678891086
3.1053625812530514,0.0339035034179687,740.137500461139,1039.0992714864071,0.9770685160469662,0.9584936424037608,poisson,10,3,18,88.40472030639648,0.0159969329833984,924.1711554829094,0.9655295177536724
3.204753295898438,0.0341254997253418,762.20665886586,1033.1782330053416,0.9764773746874164,0.9592968754800032,squared_error,10,9,19,90.9123055934906,0.01699995994567871,923.1393229650713,0.9657153676884558
